Виртуальные коды клавиш
главная
В этой таблице приведены символические константы, шестнадцатеричные коды и клавиатурные эквиваленты для кодов виртуальных клавиш, используемых семейством операционных систем Microsoft Windows. Коды перечислены в числовом порядке.
Символическое имя	Значение (hex)	Мышиные, клавиатурные эквиваленты
VK_NUMPAD7	67	Numeric keypad 7 key
VK_NUMPAD8	68	Numeric keypad 8 key
VK_NUMPAD9	69	Numeric keypad 9 key
VK_MULTIPLY	6A	Multiply key (*)
VK_ADD	6B	Add key (+)
VK_SEPARATOR	6C	Separator key
VK_SUBTRACT	6D	Subtract key (-)
VK_DECIMAL	6E	Decimal key
VK_DIVIDE	6F	Divide key (/)
VK_F1	70	F1 key
VK_F2	71	F2 key
VK_F3	72	F3 key
VK_F4	73	F4 key
VK_F5	74	F5 key
VK_F6	75	F6 key
VK_F7	76	F7 key
VK_F8	77	F8 key
VK_F9	78	F9 key
VK_F10	79	F10 key
VK_F11	7A	F11 key
VK_F12	7B	F12 key
VK_F13	7C	F13 key
VK_F14	7D	F14 key
VK_F15	7E	F15 key
VK_F16	7F	F16 key
VK_F17	80H	F17 key
VK_F18	81H	F18 key
VK_F19	82H	F19 key
VK_F20	83H	F20 key
VK_F21	84H	F21 key
VK_F22	85H	F22 key
VK_F23	86H	F23 key
VK_F24	87H	F24 key
-	88-8F	Не используются
VK_NUMLOCK	90	NUM LOCK key
VK_SCROLL	91	SCROLL LOCK key
VK_OEM_NEC_EQUAL	92	NEC PC-9800 kbd definitions: '=' key on numpad
VK_OEM_FJ_JISHO	92	Fujitsu/OASYS kbd definitions: 'Dictionary' key
VK_OEM_FJ_MASSHOU	93	Fujitsu/OASYS kbd definitions: 'Unregister word' key
VK_OEM_FJ_TOUROKU	94	Fujitsu/OASYS kbd definitions: 'Register word' key
VK_OEM_FJ_LOYA	95	Fujitsu/OASYS kbd definitions: 'Left OYAYUBI' key
VK_OEM_FJ_ROYA	96	Fujitsu/OASYS kbd definitions: 'Right OYAYUBI' key
-	97-9F	Не используются
VK_LSHIFT	A0	Left SHIFT key
VK_RSHIFT	A1	Right SHIFT key
VK_LCONTROL	A2	Left CONTROL key
VK_RCONTROL	A3	Right CONTROL key
VK_LMENU	A4	Left MENU key
VK_RMENU	A5	Right MENU key
VK_BROWSER_BACK	A6	Browser Back key
VK_BROWSER_FORWARD	A7	Browser Forward key
VK_BROWSER_REFRESH	A8	Browser Refresh key
VK_BROWSER_STOP	A9	Browser Stop key
VK_BROWSER_SEARCH	AA	Browser Search key
VK_BROWSER_FAVORITES	AB	Browser Favorites key
VK_BROWSER_HOME	AC	Browser Start and Home key
VK_VOLUME_MUTE	AD	Volume Mute key
VK_VOLUME_DOWN	AE	Volume Down key
VK_VOLUME_UP	AF	Volume Up key
VK_MEDIA_NEXT_TRACK	B0	Next Track key
VK_MEDIA_PREV_TRACK	B1	Previous Track key
VK_MEDIA_STOP	B2	Stop Media key
VK_MEDIA_PLAY_PAUSE	B3	Play/Pause Media key
VK_LAUNCH_MAIL	B4	Start Mail key
VK_LAUNCH_MEDIA_SELECT	B5	Select Media key
VK_LAUNCH_APP1	B6	Start Application 1 key
VK_LAUNCH_APP2	B7	Start Application 2 key
-	B8-B9	Зарезервировано
VK_OEM_1	BA	For the US standard keyboard, the ';:' key
VK_OEM_PLUS	BB	For any country/region, the '+' key
VK_OEM_COMMA	BC	For any country/region, the ',' key
VK_OEM_MINUS	BD	For any country/region, the '-' key
VK_OEM_PERIOD	BE	For any country/region, the '.' key
VK_OEM_2	BF	For the US standard keyboard, the '/?' key
VK_OEM_3	C0	For the US standard keyboard, the '`~' key
-	C1-D7	Зарезервировано
-	D8-DA	Не используются
VK_OEM_4	DB	For the US standard keyboard, the '[{' key
VK_OEM_5	DC	For the US standard keyboard, the '\|' key
VK_OEM_6	DD	For the US standard keyboard, the ']}' key
VK_OEM_7	DE	For the US standard keyboard, the 'single-quote/double-quote' key
VK_OEM_8	DF	Used for miscellaneous characters; it can vary by keyboard.
-	E0	Зарезервировано
E1	OEM specific
VK_OEM_102	E2	Either the angle bracket key or the backslash key on the RT 102-key keyboard
-	E3-E4	OEM specific
VK_PROCESSKEY	E5	IME PROCESS key
-	E6	OEM specific
VK_PACKET	E7	Used to pass Unicode characters as if they were keystrokes. The VK_PACKET key is the low word of a 32-bit Virtual Key value used for non-keyboard input methods. For more information, see Remark in KEYBDINPUT, SendInput, WM_KEYDOWN, and WM_KEYUP
-	E8	Не используется
VK_OEM_RESET	E9	Only used by Nokia.
VK_OEM_JUMP	EA	Only used by Nokia.
VK_OEM_PA1	EB	Only used by Nokia.
VK_OEM_PA2	EC	Only used by Nokia.
VK_OEM_PA3	ED	Only used by Nokia.
VK_OEM_WSCTRL	EE	Only used by Nokia.
VK_OEM_CUSEL	EF	Only used by Nokia.
VK_OEM_ATTN	F0	Only used by Nokia.
VK_OEM_FINNISH	F1	Only used by Nokia.
VK_OEM_COPY	F2	Only used by Nokia.
VK_OEM_AUTO	F3	Only used by Nokia.
VK_OEM_ENLW	F4	Only used by Nokia.
VK_OEM_BACKTAB	F5	Only used by Nokia.
VK_ATTN	F6	Attn key
VK_CRSEL	F7	CrSel key
VK_EXSEL	F8	ExSel key
VK_EREOF	F9	Erase EOF key
VK_PLAY	FA	Play key
VK_ZOOM	FB	Zoom key
VK_NONAME	FC	Reserved for future use.
VK_PA1	FD	PA1 key
VK_OEM_CLEAR	FE	Clear key
FF	Мультимедийные клавиши. См. ScanCode клавиши.
